epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,11.113,1.90905,3.17395,1.81719,0.00333,1,0.15641,0.12919,0.9275,3.82786,1.32389,0.00014,0.00014,0.00014
2,20.0181,1.612,2.78556,1.6793,0.00333,1,0.31232,0.1514,1.07065,3.71072,1.40259,0.000299,0.000299,0.000299
3,28.2052,1.43257,2.31788,1.58583,0.00333,1,0.44194,0.17365,1.18729,3.56402,1.46817,0.000456934,0.000456934,0.000456934
4,37.2919,1.39155,2.09341,1.47507,0.00587,1,0.74584,0.25221,1.21424,3.32045,1.46497,0.000613801,0.000613801,0.000613801
5,45.3847,1.29139,2.36522,1.54489,1,0.52647,0.85379,0.45293,1.22015,2.99652,1.448,0.000769601,0.000769601,0.000769601
6,53.8398,1.29536,2.06704,1.441,1,0.47199,0.81222,0.51065,1.10887,2.97945,1.32655,0.000924335,0.000924335,0.000924335
7,63.1462,1.24332,1.92897,1.48256,0.67121,0.28571,0.78213,0.47656,1.16606,2.94289,1.34071,0.001078,0.001078,0.001078
8,71.9177,1.57347,2.09316,1.71784,0.88057,0.71429,0.869,0.49067,1.21144,2.7989,1.41706,0.0012306,0.0012306,0.0012306
9,81.4975,1.39323,1.8287,1.67955,0.93449,0.71429,0.87158,0.47673,1.58149,2.52811,1.77981,0.00138214,0.00138214,0.00138214
10,91.1008,1.24945,2.00708,1.56063,0.93449,0.71429,0.87158,0.47673,1.58149,2.52811,1.77981,0.0015326,0.0015326,0.0015326
11,100.647,1.49736,1.80047,1.63979,0.65711,0.82438,0.81611,0.43799,1.60101,2.89978,1.88295,0.00168201,0.00168201,0.00168201
12,111.079,1.3795,1.92645,1.51541,0.65711,0.82438,0.81611,0.43799,1.60101,2.89978,1.88295,0.00183034,0.00183034,0.00183034
13,120.612,1.38551,1.88138,1.55807,0.66084,0.85714,0.77214,0.35697,1.61204,4.55349,2.08022,0.00192001,0.00192001,0.00192001
14,130.926,1.45175,1.88125,1.66146,0.66084,0.85714,0.77214,0.35697,1.61204,4.55349,2.08022,0.00191334,0.00191334,0.00191334
15,140.834,1.37156,1.91142,1.53872,0.62476,0.85714,0.69931,0.24159,1.87073,3.66892,2.56427,0.00190668,0.00190668,0.00190668
16,150.782,1.42492,1.82183,1.59872,0.62476,0.85714,0.69931,0.24159,1.87073,3.66892,2.56427,0.00190001,0.00190001,0.00190001
17,166.056,1.51766,1.90505,1.64107,0.79398,0.71429,0.78333,0.50794,1.59475,3.20536,2.01944,0.00189334,0.00189334,0.00189334
18,185.789,1.26835,1.8338,1.42019,0.79398,0.71429,0.78333,0.50794,1.59475,3.20536,2.01944,0.00188668,0.00188668,0.00188668
19,203.952,1.39975,1.81442,1.55948,0.69956,0.85714,0.863,0.40705,1.59415,3.59653,2.0163,0.00188001,0.00188001,0.00188001
20,219.41,1.55286,1.75189,1.6738,0.69956,0.85714,0.863,0.40705,1.59415,3.59653,2.0163,0.00187335,0.00187335,0.00187335
21,238.223,1.46071,1.6162,1.60187,0.65451,0.81547,0.88372,0.42193,1.71966,4.82438,2.06515,0.00186668,0.00186668,0.00186668
22,254.094,1.34213,1.61729,1.50248,0.65451,0.81547,0.88372,0.42193,1.71966,4.82438,2.06515,0.00186001,0.00186001,0.00186001
23,270.745,1.40171,1.64443,1.51185,0.86567,1,0.9775,0.53652,1.57179,3.29611,1.69016,0.00185335,0.00185335,0.00185335
24,287.387,1.57782,1.76063,1.58868,0.86567,1,0.9775,0.53652,1.57179,3.29611,1.69016,0.00184668,0.00184668,0.00184668
25,301.566,1.47602,1.8361,1.60477,0.97785,0.85714,0.91625,0.54947,1.63274,2.89625,1.74087,0.00184002,0.00184002,0.00184002
